player_name,mlbam_id,tj_date,return_date,age_at_surgery,role_return
Cody Poteet,547001,8/17/2022,4/13/2024,27,SP
Sean Reid-Foley,656887,5/11/2022,8/23/2023,26,RP
Garrett Crochet,676979,4/5/2022,5/18/2023,23,SP
Tyler Glasnow,607192,8/4/2021,9/28/2022,27,SP
Dustin May,669160,5/12/2021,8/20/2022,23,SP
Rico Garcia,670329,3/27/2021,6/13/2022,27,RP
Seranthony Dominguez,622554,7/30/2020,10/3/2021,25,RP
Colin Poche,621363,7/29/2020,4/22/2022,26,RP
Noah Syndergaard,592789,3/26/2020,9/28/2021,27,RP/SP
Luis Severino,622663,2/27/2020,9/21/2021,26,RP/SP
Ryan Burr,621114,6/25/2019,5/31/2021,25,RP
Silvino Bracho,611093,3/13/2019,9/26/2020,26,RP
Jordan Montgomery,656756,6/7/2018,9/15/2019,25,SP
Rafael Montero,606160,3/27/2018,7/23/2019,27,RP
Trevor Rosenthal,572096,8/30/2017,3/30/2019,27,RP